dataset,method,mode,repetition,accuracy,balacc
ECGFiveDays,SVM,pretrained-small,2,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,3,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,4,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,5,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,6,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,7,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,8,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,9,0.4970963995354239,0.5
ECGFiveDays,SVM,pretrained-small,10,0.4970963995354239,0.5
MiddlePhalanxOutlineCorrect,SVM,fine-tune,1,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,1,0.7972508591065293,0.7778313253012048
MiddlePhalanxOutlineCorrect,SVM,fine-tune,2,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,2,0.7422680412371134,0.7454457831325301
MiddlePhalanxOutlineCorrect,SVM,fine-tune,3,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,3,0.7869415807560137,0.7707710843373494
MiddlePhalanxOutlineCorrect,SVM,fine-tune,4,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,4,0.7422680412371134,0.723710843373494
MiddlePhalanxOutlineCorrect,SVM,fine-tune,5,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,5,0.7079037800687286,0.6708674698795181
MiddlePhalanxOutlineCorrect,SVM,fine-tune,6,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,6,0.7628865979381443,0.735855421686747
MiddlePhalanxOutlineCorrect,SVM,fine-tune,7,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,7,0.7663230240549829,0.7606024096385542
MiddlePhalanxOutlineCorrect,SVM,fine-tune,8,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,8,0.718213058419244,0.7164578313253012
MiddlePhalanxOutlineCorrect,SVM,fine-tune,9,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,9,0.7560137457044673,0.7347710843373494
MiddlePhalanxOutlineCorrect,SVM,fine-tune,10,0.6666666666666666,0.6297831325301204
MiddlePhalanxOutlineCorrect,NN,fine-tune,10,0.7216494845360825,0.734289156626506
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,1,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,2,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,3,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,4,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,5,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,6,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,7,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,8,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,9,0.7250859106529209,0.6997590361445782
MiddlePhalanxOutlineCorrect,SVM,pretrained-small,10,0.7250859106529209,0.6997590361445782
BME,SVM,fine-tune,1,0.6,0.6
BME,NN,fine-tune,1,0.5933333333333334,0.5933333333333334
BME,SVM,fine-tune,2,0.6,0.6
BME,NN,fine-tune,2,0.6533333333333333,0.6533333333333333
BME,SVM,fine-tune,3,0.6,0.6
BME,NN,fine-tune,3,0.5666666666666667,0.5666666666666668
BME,SVM,fine-tune,4,0.6,0.6
BME,NN,fine-tune,4,0.58,0.5800000000000001
BME,SVM,fine-tune,5,0.6,0.6
BME,NN,fine-tune,5,0.58,0.58
BME,SVM,fine-tune,6,0.6,0.6
BME,NN,fine-tune,6,0.62,0.62
BME,SVM,fine-tune,7,0.6,0.6
BME,NN,fine-tune,7,0.58,0.5800000000000001
BME,SVM,fine-tune,8,0.6,0.6
BME,NN,fine-tune,8,0.6,0.6000000000000001
BME,SVM,fine-tune,9,0.6,0.6
BME,NN,fine-tune,9,0.5866666666666667,0.5866666666666668
BME,SVM,fine-tune,10,0.6,0.6
