dataset,method,mode,repetition,accuracy
CricketZ,SVM,fine-tune,2,0.20256410256410257
CricketZ,NN,fine-tune,2,0.2743589743589744
CricketZ,SVM,fine-tune,3,0.20256410256410257
CricketZ,NN,fine-tune,3,0.2743589743589744
CricketZ,SVM,fine-tune,4,0.20256410256410257
CricketZ,NN,fine-tune,4,0.258974358974359
CricketZ,SVM,fine-tune,5,0.20256410256410257
CricketZ,NN,fine-tune,5,0.2717948717948718
CricketZ,SVM,fine-tune,6,0.20256410256410257
CricketZ,NN,fine-tune,6,0.28205128205128205
CricketZ,SVM,fine-tune,7,0.20256410256410257
CricketZ,NN,fine-tune,7,0.2717948717948718
CricketZ,SVM,fine-tune,8,0.20256410256410257
CricketZ,NN,fine-tune,8,0.2717948717948718
CricketZ,SVM,fine-tune,9,0.20256410256410257
CricketZ,NN,fine-tune,9,0.2717948717948718
CricketZ,SVM,fine-tune,10,0.20256410256410257
CricketZ,NN,fine-tune,10,0.2512820512820513
CricketZ,SVM,pretrained-small,1,0.13333333333333333
CricketZ,NN,pretrained-small,1,0.3153846153846154
CricketZ,SVM,pretrained-small,2,0.13333333333333333
CricketZ,NN,pretrained-small,2,0.32564102564102565
CricketZ,SVM,pretrained-small,3,0.13333333333333333
CricketZ,NN,pretrained-small,3,0.3230769230769231
CricketZ,SVM,pretrained-small,4,0.13333333333333333
CricketZ,NN,pretrained-small,4,0.2743589743589744
CricketZ,SVM,pretrained-small,5,0.13333333333333333
CricketZ,NN,pretrained-small,5,0.31025641025641026
CricketZ,SVM,pretrained-small,6,0.13333333333333333
CricketZ,NN,pretrained-small,6,0.32051282051282054
CricketZ,SVM,pretrained-small,7,0.13333333333333333
CricketZ,NN,pretrained-small,7,0.3076923076923077
CricketZ,SVM,pretrained-small,8,0.13333333333333333
CricketZ,NN,pretrained-small,8,0.30256410256410254
CricketZ,SVM,pretrained-small,9,0.13333333333333333
CricketZ,NN,pretrained-small,9,0.3128205128205128
CricketZ,SVM,pretrained-small,10,0.13333333333333333
CricketZ,NN,pretrained-small,10,0.30256410256410254
Haptics,SVM,fine-tune,1,0.38311688311688313
Haptics,NN,fine-tune,1,0.36688311688311687
Haptics,SVM,fine-tune,2,0.38311688311688313
Haptics,NN,fine-tune,2,0.36363636363636365
Haptics,SVM,fine-tune,3,0.38311688311688313
Haptics,NN,fine-tune,3,0.37012987012987014
Haptics,SVM,fine-tune,4,0.38311688311688313
Haptics,NN,fine-tune,4,0.35714285714285715
Haptics,SVM,fine-tune,5,0.38311688311688313
Haptics,NN,fine-tune,5,0.36038961038961037
Haptics,SVM,fine-tune,6,0.38311688311688313
Haptics,NN,fine-tune,6,0.35714285714285715
Haptics,SVM,fine-tune,7,0.38311688311688313
Haptics,NN,fine-tune,7,0.36363636363636365
Haptics,SVM,fine-tune,8,0.38311688311688313
Haptics,NN,fine-tune,8,0.35714285714285715
Haptics,SVM,fine-tune,9,0.38311688311688313
Haptics,NN,fine-tune,9,0.35064935064935066
Haptics,SVM,fine-tune,10,0.38311688311688313
Haptics,NN,fine-tune,10,0.35064935064935066
Haptics,SVM,pretrained-small,1,0.3474025974025974
Haptics,NN,pretrained-small,1,0.38636363636363635
